Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,month,temp,NUM_COLLISIONS
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jan,37.8,0.481668774
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jan,27.1,0.606826802
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jan,28.4,0.694058154
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jan,33.4,0.638432364
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jan,36.1,0.491782554
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jan,38.3,0.496839444
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jan,40.9,0.658659924
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jan,40.7,0.648546144
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jan,43.8,0.615676359
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jan,44.3,0.701643489
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jan,40.5,0.834386852
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jan,44.6,0.600505689
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jan,45.3,0.471554994
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jan,52.5,0.685208597
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jan,37.9,0.652338812
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jan,34.2,0.730720607
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jan,39.2,0.620733249
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jan,30.2,0.709228824
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jan,37.3,0.611883692
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jan,45.3,0.496839444
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jan,29.8,0.448798989
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jan,22.4,0.687737042
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jan,14.4,0.689001264
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jan,16.8,0.700379267
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Jan,17.1,0.852085967
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Jan,19.9,0.705436157
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Jan,24.5,0.542351454
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Jan,31.8,0.640960809
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Jan,40.3,0.685208597
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Jan,45.7,0.628318584
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Jan,49.1,0.748419722
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Feb,29.3,0.725663717
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Feb,24.1,0.675094817
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Feb,26.5,0.562579014
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Feb,26.8,0.699115044
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Feb,29.1,0.715549937
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Feb,33.3,0.715549937
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Feb,29.3,0.664981037
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Feb,32.3,0.88874842
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Feb,28.8,0.509481669
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Feb,25.2,0.505689001
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Feb,38.5,0.600505689
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Feb,41.9,0.629582807
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Feb,38.2,0.720606827
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Feb,38.2,0.797724399
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Feb,43,0.763590392
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Feb,37.9,0.567635904
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Feb,29,0.565107459
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Feb,23.4,0.503160556
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Feb,39.2,0.603034134
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Feb,33.8,0.644753477
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Feb,28,0.629582807
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Feb,30,0.671302149
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Feb,38,0.658659924
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Feb,39.3,0.538558786
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Feb,37.5,0.619469027
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Feb,39.9,0.678887484
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Feb,40.2,0.695322377
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Feb,45.2,0.653603034
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,Mar,40,0.762326169
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,36.7,0.599241466
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,32.6,0.634639697
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,Mar,32.8,0.754740834
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,Mar,37.9,0.666245259
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,Mar,40.1,0.600505689
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,Mar,36.7,0.676359039
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,43.7,0.719342604
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,41.8,0.524652339
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,Mar,44.7,0.659924147
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,Mar,50.3,0.691529709
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,Mar,45,0.804045512
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,Mar,35.6,0.704171934
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,Mar,36.1,0.767383059
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,37.3,0.658659924
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,33,0.538558786
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,Mar,32.1,0.787610619
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,Mar,36,0.706700379
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,Mar,38.5,0.682680152
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,Mar,35.7,0.642225032
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,Mar,34,0.763590392
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,38.4,0.616940582
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,39.1,0.570164349
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,Mar,38.3,0.629582807
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,Mar,42.2,0.537294564
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,Mar,43.8,0.557522124
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,Mar,43.3,0.694058154
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,Mar,46.7,0.657395702
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,Mar,48,0.648546144
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,Mar,49.3,0.538558786
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,49.3,0.605562579
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,38,0.552465234
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,38.4,0.672566372
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,39.9,0.715549937
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,49,0.735777497
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,43.1,0.671302149
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,46.2,0.570164349
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,59,0.735777497
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,65.7,0.774968394
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,65.1,0.733249052
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,56.2,0.653603034
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,44.2,0.820480405
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,46.5,0.701643489
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,52.3,0.596713021
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,49.9,0.762326169
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,53.9,0.713021492
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,62.7,0.676359039
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,55.3,0.699115044
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,60.8,0.720606827
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,55.5,0.672566372
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,46,0.595448799
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,47.6,0.714285714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,45.4,0.648546144
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,Apr,52.9,0.756005057
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,Apr,56.1,0.737041719
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,Apr,57.3,0.85335019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Apr,57.8,0.653603034
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,Apr,58.9,0.556257901
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Apr,55,0.756005057
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,Apr,57.7,0.728192162
