"","day","mo","temp","dewp","wdsp","NUM_COLLISIONS"
"185",4,1,37.8,23.6,6.1,0.481668773704172
"186",5,1,27.1,10.5,5.3,0.606826801517067
"187",6,1,28.4,14.1,3.7,0.694058154235145
"188",7,1,33.4,18.6,6.5,0.638432364096081
"189",2,1,36.1,18.7,6.6,0.491782553729456
"190",1,1,38.3,25,5.3,0.496839443742099
"191",3,1,40.9,23.8,5.7,0.65865992414665
"192",4,1,40.7,25.4,5.1,0.648546144121365
"193",5,1,43.8,30.8,3.7,0.615676359039191
"194",6,1,44.3,25.4,5.9,0.701643489254109
"195",7,1,40.5,27.1,4.5,0.834386852085967
"196",2,1,44.6,43,3.5,0.600505689001264
"197",1,1,45.3,43.1,2.9,0.471554993678887
"198",3,1,52.5,45.4,3.9,0.685208596713021
"199",4,1,37.9,27.9,5.7,0.652338811630847
"200",5,1,34.2,30,4.6,0.730720606826802
"201",6,1,39.2,28,4.9,0.620733249051833
"202",7,1,30.2,12.2,5.7,0.709228824273072
"203",2,1,37.3,18.1,7.8,0.611883691529709
"204",1,1,45.3,23.4,9.7,0.496839443742099
"205",3,1,29.8,9.3,5.1,0.448798988621997
"206",4,1,22.4,4,8.4,0.687737041719343
"207",5,1,14.4,-5.4,7.7,0.689001264222503
"208",6,1,16.8,-1.7,6.7,0.700379266750948
"209",7,1,17.1,1.5,6.1,0.852085967130215
"210",2,1,19.9,9.2,5.7,0.70543615676359
"211",1,1,24.5,7.5,5.6,0.542351453855879
"212",3,1,31.8,19,3.5,0.640960809102402
"213",4,1,40.3,35.3,4.3,0.685208596713021
"214",5,1,45.7,42.9,3.6,0.628318584070796
"215",6,1,49.1,36.5,9.1,0.748419721871049
"216",7,2,29.3,9.5,8.4,0.725663716814159
"217",2,2,24.1,6.5,6.3,0.675094816687737
"218",1,2,26.5,18,2.6,0.562579013906447
"219",3,2,26.8,10.5,6.2,0.699115044247788
"220",4,2,29.1,20.3,4.7,0.715549936788875
"221",5,2,33.3,23.1,3.6,0.715549936788875
"222",6,2,29.3,6.2,5,0.664981036662453
"223",7,2,32.3,26.2,10.2,0.888748419721871
"224",2,2,28.8,21,8,0.509481668773704
"225",1,2,25.2,8.5,3.4,0.505689001264222
"226",3,2,38.5,32.4,3.2,0.600505689001264
"227",4,2,41.9,28.8,7.2,0.629582806573957
"228",5,2,38.2,22.5,3,0.720606826801517
"229",6,2,38.2,26.7,3.8,0.797724399494311
"230",7,2,43,30.7,4.9,0.763590391908976
"231",2,2,37.9,28,5.6,0.56763590391909
"232",1,2,29,6.6,9.6,0.565107458912769
"233",3,2,23.4,2,8.2,0.503160556257901
"234",4,2,39.2,22.4,5.8,0.603034134007585
"235",5,2,33.8,16.8,9.9,0.644753476611884
"236",6,2,28,9.8,9.2,0.629582806573957
"237",7,2,30,17.2,6.4,0.671302149178255
"238",2,2,38,34.3,6.3,0.65865992414665
"239",1,2,39.3,32.4,7.1,0.538558786346397
"240",3,2,37.5,22.7,5,0.619469026548673
"241",4,2,39.9,28.7,5,0.678887484197219
"242",5,2,40.2,36.8,10.7,0.695322376738306
"243",6,2,45.2,32.9,3.9,0.653603034134008
"244",7,3,40,27.4,4.9,0.762326169405815
"245",2,3,36.7,22.8,5.9,0.599241466498104
"246",1,3,32.6,18.7,6.6,0.634639696586599
"247",3,3,32.8,16.4,8.6,0.754740834386852
"248",4,3,37.9,20.6,7.2,0.666245259165613
"249",5,3,40.1,29.3,10.9,0.600505689001264
"250",6,3,36.7,28.2,10.6,0.676359039190898
"252",2,3,43.7,22.1,5.9,0.719342604298357
"253",1,3,41.8,28.6,4.1,0.524652338811631
"254",3,3,44.7,38.2,5.5,0.65992414664981
"255",4,3,50.3,47.3,6.6,0.691529709228824
