day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
7,2018,1,7,07/01/2018,9.7,-6.6,1032.6,10,6.3,12,19,18,5,0,5.9,0,475
1,2018,1,8,08/01/2018,22.5,7.7,1024.3,9.6,5.1,9.9,24.1,30,5,0,5.9,0,720
1,2018,1,1,01/01/2018,11.7,-4.6,1027.4,10,7.3,11.1,19,21,7,0,999.9,0,453
2,2018,1,2,02/01/2018,17.9,2.8,1028.1,10,7,13,20,26.1,7,0,999.9,0,654
5,2014,2,28,28/02/2014,16.5,-8,1024.3,10,6.1,14,24.1,34,9,0,5.9,0,655
6,2014,3,1,01/03/2014,27.2,5.8,1027.7,10,3.4,7,14,37,9,0,5.9,0,497
5,2018,1,5,05/01/2018,14.9,-2.5,1006.2,10,11.2,17.1,29.9,28.9,9,0.69,1.2,0,700
6,2016,2,13,13/02/2016,19.3,-0.7,1015.8,10,9.4,18.1,31.1,27,9,0,999.9,0,480
3,2014,1,8,08/01/2014,12.9,-5.1,1031.1,10,6.3,11.1,20,21,9,0,999.9,0,616
4,2014,1,9,09/01/2014,25.3,5.4,1035.2,10,2.8,8,999.9,32,9,0,999.9,0,561
5,2014,1,3,03/01/2014,15.6,6.7,1014.9,3.8,10.1,15,25.1,24.8,10,0.58,999.9,1,423
4,2013,1,24,24/01/2013,16.8,-1.7,1023,10,6.7,15,27,21.9,12,0,999.9,0,554
3,2014,1,29,29/01/2014,17.4,-2.4,1022,8.4,5.8,8.9,18.1,23,12,0.04,1.2,0,649
1,2017,1,9,09/01/2017,18.6,3.1,1037.9,10,4.6,8,17.1,25,14,0,3.9,0,669
2,2017,1,10,10/01/2017,27.7,15.3,1035.5,10,4,8,14,37.9,14,0,3.1,0,597
7,2017,3,5,05/03/2017,22.8,-8.1,1035.9,10,6.1,12,22.9,37,14,0,999.9,0,489
1,2017,3,6,06/03/2017,33.5,5.8,1032.9,10,2.6,6,999.9,45,14,0,999.9,0,618
6,2020,2,15,15/02/2020,21.6,2.5,1035.1,10,4.2,8,19,39.9,14,0,999.9,0,440
7,2020,2,16,16/02/2020,34.6,20.7,1023.2,10,5.3,11.1,19,44.1,14,0,999.9,0,387
1,2016,2,15,15/02/2016,19.1,2,1033.3,8.1,3.7,8.9,999.9,30.2,14,0,999.9,1,291
2,2014,1,21,21/01/2014,25.2,13.3,9999.9,999.9,999.9,999.9,999.9,39.2,14,0,999.9,0,1161
5,2021,1,29,29/01/2021,20.4,0,1019.3,10,12.5,22.9,34,34,14,0,999.9,0,291
5,2021,1,29,29/01/2021,20.4,0,1019.3,10,12.5,22.9,34,34,14,0,999.9,0,291
6,2021,1,30,30/01/2021,22.1,3.3,1024.4,10,7.6,14,19,32,14,0,999.9,0,284
6,2021,1,30,30/01/2021,22.1,3.3,1024.4,10,7.6,14,19,32,14,0,999.9,0,284
4,2014,1,30,30/01/2014,21.2,0.2,1027.9,10,3.1,8.9,18.1,30,14,0,2,0,657
4,2014,3,6,06/03/2014,24.5,4.1,1033.6,10,8.1,11.1,19,39,16,0,3.9,0,558
5,2014,3,7,07/03/2014,30.2,17.9,1026.9,10,6.8,11.1,19,37,16,0,3.9,0,533
7,2017,1,8,08/01/2017,20.1,7.2,1024.8,7.9,7.5,13,21,26.1,16,0.32,999.9,0,406
5,2019,3,1,01/03/2019,30.2,19.6,1026.1,7.9,999.9,999.9,999.9,34,16,0.1,999.9,1,711
4,2019,12,19,19/12/2019,21.3,7.7,1023.8,9,9.3,14,25.1,36,16,0.03,999.9,0,699
5,2019,12,20,20/12/2019,25.8,10.8,1032.5,10,5.8,9.9,15.9,33.1,16,0,999.9,0,698
4,2018,1,4,04/01/2018,25.7,14.6,1006.7,5.4,9.1,18.1,34,30,16,0.07,999.9,1,464
2,2018,1,16,16/01/2018,29.1,22.2,1032,10,3.9,7,999.9,36,16,0,999.9,0,617
6,2018,2,3,03/02/2018,21.8,2.6,1028.5,10,7.1,12,20,41,16,0.18,999.9,0,478
7,2018,2,4,04/02/2018,35.2,20.6,1023.9,8.9,3.9,8,24.1,45,16,0,999.9,0,541
2,2016,1,19,19/01/2016,21.1,1.5,1015.7,10,10.4,17.1,28,30.9,16,0,999.9,0,662
3,2016,1,20,20/01/2016,30.7,13.1,1020.5,10,5.6,11.1,21,37,16,0,999.9,0,623
5,2014,1,31,31/01/2014,30.7,9.9,1021.2,10,5,8.9,15.9,39,16,0,1.2,0,560
2,2014,2,11,11/02/2014,21.7,4.1,1026.7,10,5.2,8.9,15.9,28.9,16,0,9.8,0,636
4,2014,3,13,13/03/2014,28.7,11.7,1000.8,9.1,11,17.1,31.1,55.9,18,0.35,999.9,0,545
5,2014,3,14,14/03/2014,30.5,5.2,1019.6,10,6.1,13,26,46,18,0,999.9,0,585
4,2019,3,7,07/03/2019,24.1,5.3,1024.9,10,999.9,999.9,999.9,32,18,0,1.2,0,556
5,2019,3,8,08/03/2019,30.5,11.1,1027.9,10,999.9,999.9,999.9,39,18,0,1.2,0,652
6,2017,12,30,30/12/2017,19.7,7.5,1021.1,7.5,4.6,8.9,20,23,18,0,999.9,0,565
7,2013,2,10,10/02/2013,25.2,8.5,1028.7,10,3.4,8.9,15.9,36,18,0.38,999.9,0,400
4,2018,1,18,18/01/2018,24.7,9.2,1017.7,10,7,9.9,17.1,36,18,0.03,999.9,0,634
5,2018,1,19,19/01/2018,30.4,13.7,1017,10,4.8,8.9,999.9,37.9,18,0,999.9,0,599
3,2018,1,31,31/01/2018,24.9,6.8,1022.1,10,6,13,24.1,36,18,0.02,999.9,0,596
4,2018,2,1,01/02/2018,37.5,21.2,1015.2,9.9,4.3,12,22.9,45,18,0,999.9,0,594
1,2014,2,17,17/02/2014,23.7,3.1,1024.2,10,5.5,11.1,18.1,32,18,0,18.1,0,491
1,2014,3,3,03/03/2014,25.3,7.2,1019.9,8.7,5.7,12,20,39.9,19,0.04,5.1,0,440
3,2019,3,6,06/03/2019,23.3,3.8,1018.4,9.8,999.9,999.9,999.9,32,19,0,2,0,589
5,2017,2,10,10/02/2017,24.2,6.2,1020.6,10,8.2,15,27,44.1,19,0.82,2,0,708
6,2017,2,11,11/02/2017,37.3,21.5,1015.6,9.6,4.4,13,21,48,19,0,7.9,0,511
7,2013,1,27,27/01/2013,24.5,7.5,1030.3,10,5.6,9.9,15.9,34,19,0,2,0,429
3,2017,12,27,27/12/2017,21.8,1.4,1031.4,10,5.4,8,15.9,28,19,0,999.9,0,577
6,2013,2,2,02/02/2013,24.1,6.5,1022.7,10,6.3,12,19,28.9,19,0,999.9,0,534
3,2013,12,25,25/12/2013,24.8,6.5,1030.4,10,5.2,14,25.1,42.1,19,0,999.9,0,257
4,2018,11,22,22/11/2018,25.2,3.2,1027.8,10,999.9,999.9,999.9,36,19,0,999.9,0,412
7,2019,1,20,20/01/2019,34,29.5,1001.4,5.8,999.9,999.9,999.9,42.1,19,1,999.9,0,411
2,2021,3,2,02/03/2021,29.2,2.6,1018,10,11.1,19,28.9,48.9,21,0.02,999.9,0,268
2,2021,3,2,02/03/2021,29.2,2.6,1018,10,11.1,19,28.9,48.9,21,0.02,999.9,0,268
3,2021,3,3,03/03/2021,39.4,13.8,1013.7,10,6,11.1,19,52,21,0,999.9,0,244
3,2021,3,3,03/03/2021,39.4,13.8,1013.7,10,6,11.1,19,52,21,0,999.9,0,244
1,2014,3,24,24/03/2014,28,2.8,1021.4,10,6.3,9.9,18.1,42.1,21,0,999.9,0,547
2,2014,3,25,25/03/2014,32.4,7.4,1018.7,10,4.1,9.9,15.9,39,21,0,999.9,0,474
5,2020,1,17,17/01/2020,28.4,5.3,1031,9.7,10.5,18.1,33,48.9,21,0,999.9,1,566
5,2018,2,2,02/02/2018,31.9,18.1,1014.7,9.2,6.7,13,24.1,45,21,0.23,999.9,0,617
5,2016,1,22,22/01/2016,25.9,5.1,1023.7,10,5.3,12,17.1,36,21,0,999.9,0,702
6,2016,1,23,23/01/2016,26.2,19.2,1011.1,1.7,12.8,20,36.9,30,21,0.5,999.9,1,402
2,2013,12,31,31/12/2013,26,10.4,1020.6,9.9,4.4,11.1,22.9,45,21,0,999.9,0,465
3,2014,1,1,01/01/2014,28.2,10.7,1026.8,10,5.1,8.9,20,33.1,21,0,999.9,0,399
6,2014,2,8,08/02/2014,25.9,5,1025.2,10,4.4,8.9,15,32,21,0,9.1,0,424
7,2014,2,9,09/02/2014,25.5,8.3,1020.2,9.3,3.8,8,999.9,30.9,21,0,9.1,0,450
1,2014,2,10,10/02/2014,25.1,12.4,1019.4,7.6,5.4,9.9,19,30.9,21,0.1,7.9,1,678
5,2019,1,11,11/01/2019,26.7,6.8,1020.4,10,999.9,999.9,999.9,34,21,0,999.9,0,644
7,2014,2,16,16/02/2014,26.6,11.6,1011.2,9.1,8.3,13,24.1,37,21,0.13,18.1,0,464
4,2016,12,15,15/12/2016,27.7,2,1012.5,9.8,8.7,14,34,42.1,21,0,999.9,0,749
5,2021,3,5,05/03/2021,29.7,2.2,1011.5,10,11.1,15.9,29.9,45,23,0,999.9,0,306
5,2021,3,5,05/03/2021,29.7,2.2,1011.5,10,11.1,15.9,29.9,45,23,0,999.9,0,306
6,2021,3,6,06/03/2021,32.8,10.5,1016.3,10,8.4,15.9,22,37,23,0,999.9,0,251
6,2021,3,6,06/03/2021,32.8,10.5,1016.3,10,8.4,15.9,22,37,23,0,999.9,0,251
