"Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","month","temp","prcp","dewp","NUM_COLLISIONS"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jan",37.8,0,23.6,381
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jan",27.1,0,10.5,480
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jan",28.4,0,14.1,549
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jan",33.4,0,18.6,505
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jan",36.1,0,18.7,389
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jan",38.3,0,25,393
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jan",40.9,0,23.8,521
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jan",40.7,0,25.4,513
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jan",43.8,0,30.8,487
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jan",44.3,0,25.4,555
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jan",40.5,0,27.1,660
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jan",44.6,0.57,43,475
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jan",45.3,0.02,43.1,373
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jan",52.5,0,45.4,542
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jan",37.9,0.09,27.9,516
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jan",34.2,0.63,30,578
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jan",39.2,0.09,28,491
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jan",30.2,0,12.2,561
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jan",37.3,0,18.1,484
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jan",45.3,0,23.4,393
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jan",29.8,0,9.3,355
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jan",22.4,0,4,544
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jan",14.4,0,-5.4,545
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jan",16.8,0,-1.7,554
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jan",17.1,0,1.5,674
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jan",19.9,0.07,9.2,558
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jan",24.5,0,7.5,429
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jan",31.8,0,19,507
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jan",40.3,0.22,35.3,542
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jan",45.7,0.06,42.9,497
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jan",49.1,0.93,36.5,592
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Feb",29.3,0.01,9.5,574
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Feb",24.1,0,6.5,534
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Feb",26.5,0.03,18,445
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Feb",26.8,0.02,10.5,553
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Feb",29.1,0.01,20.3,566
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Feb",33.3,0.01,23.1,566
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Feb",29.3,0,6.2,526
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Feb",32.3,0.01,26.2,703
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Feb",28.8,1.52,21,403
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Feb",25.2,0.38,8.5,400
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Feb",38.5,0.09,32.4,475
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Feb",41.9,0.4,28.8,498
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Feb",38.2,0,22.5,570
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Feb",38.2,0.03,26.7,631
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Feb",43,0,30.7,604
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Feb",37.9,0.02,28,449
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Feb",29,0,6.6,447
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Feb",23.4,0,2,398
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Feb",39.2,0,22.4,477
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Feb",33.8,0.15,16.8,510
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Feb",28,0,9.8,498
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Feb",30,0,17.2,531
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Feb",38,0,34.3,521
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Feb",39.3,0.27,32.4,426
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Feb",37.5,0.01,22.7,490
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Feb",39.9,0,28.7,537
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Feb",40.2,1.26,36.8,550
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Feb",45.2,0.44,32.9,517
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",40,0,27.4,603
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",36.7,0,22.8,474
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",32.6,0,18.7,502
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",32.8,0,16.4,597
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",37.9,0,20.6,527
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",40.1,0,29.3,475
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",36.7,0,28.2,535
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",43.7,0.4,22.1,569
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",41.8,0,28.6,415
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",44.7,0,38.2,522
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",50.3,0.08,47.3,547
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",45,0.71,29.9,636
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",35.6,0,13.6,557
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",36.1,0,13.5,607
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",37.3,0,24.1,521
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",33,0.12,20,426
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",32.1,0,14.1,623
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",36,0.81,32.2,559
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",38.5,0.2,18.9,540
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",35.7,0,16,508
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",34,0,13.9,604
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",38.4,0,17.6,488
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",39.1,0,18.2,451
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",38.3,0,27.7,498
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",42.2,0.17,27.3,425
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",43.8,0,22.7,441
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",43.3,0,27.8,549
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",46.7,0,26.4,520
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",48,0,24.5,513
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",49.3,0,29.7,426
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",49.3,0.08,40.8,479
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",38,0,10.9,437
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Apr",38.4,0,9.5,532
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Apr",39.9,0,16.4,566
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Apr",49,0,22.3,582
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Apr",43.1,0,13.2,531
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Apr",46.2,0,31,451
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",59,0,40.8,582
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",65.7,0,42.7,613
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Apr",65.1,0,45.9,580
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Apr",56.2,0.49,50.1,517
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Apr",44.2,0.01,38.8,649
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Apr",46.5,0.63,36.8,555
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Apr",52.3,0.01,30.4,472
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",49.9,0,27,603
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",53.9,0,43.9,564
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Apr",62.7,0.02,45.3,535
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Apr",55.3,0.01,39.9,553
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Apr",60.8,0,55,570
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Apr",55.5,0.11,38,532
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Apr",46,0.06,20.5,471
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",47.6,0,29.9,565
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",45.4,0,34.5,513
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Apr",52.9,0,41.1,598
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Apr",56.1,0,31.5,583
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Apr",57.3,0,29.4,675
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Apr",57.8,0,27.8,517
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Apr",58.9,0,31.1,440
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",55,0,44,598
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",57.7,0.04,38.2,576
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,"May",57,0,32.7,576
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,"May",58.9,0,41.2,585
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,"May",56.6,0,37.9,686
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,"May",54.7,0,41.4,580
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,"May",52.1,0,38.7,515
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,"May",55.4,0,44.7,561
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,"May",60.9,0,50.8,592
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,"May",60.3,1.28,56.6,620
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,"May",58.9,1.76,54.2,602
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,"May",66.9,0.48,54,698
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,"May",64.4,0.18,60.1,523
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,"May",62.6,0.92,45.3,527
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,"May",51.7,0,26.7,577
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,"May",51.1,0,27.2,565
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,"May",58,0,39.9,532
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,"May",69.5,0,51,559
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,"May",66.4,0,40.2,741
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,"May",61,0,46.6,506
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,"May",57.3,0.1,53.4,544
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,"May",65,0.51,60,657
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,"May",75.9,0,65.2,697
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,"May",71,0,63.4,570
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,"May",71.5,0,66.2,735
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,"May",59.6,1.91,57,668
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,"May",48.1,0.29,41.7,514
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,"May",55.5,0.05,35.6,455
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,"May",61.7,0,34.9,420
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,"May",61.1,0,47.1,686
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,"May",66.9,0.52,60.6,574
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,"May",81,0,63.4,685
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,"May",83,0,63.4,736
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jun",80.8,0,64.1,631
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jun",80.1,0,65.9,487
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jun",72.2,1,67.3,707
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jun",66.1,0.72,45.6,613
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jun",66,0,41.7,599
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jun",63.8,0,53.8,605
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jun",61.5,0.95,59.4,791
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jun",64.9,3.82,58.9,571
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jun",71.7,0.48,57.6,533
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jun",67.7,0,62.1,624
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jun",69.6,1.47,63.6,635
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jun",70.9,0.09,53.2,615
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jun",65.7,0,55.6,534
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jun",59.9,1.58,53.8,693
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jun",69.4,0.06,52,596
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jun",72.8,0,53.8,477
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jun",75.3,0,63.4,614
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jun",72.8,0.01,63.8,613
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jun",67.4,0.2,54.4,622
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jun",69.6,0,52.4,681
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jun",71.6,0,51.6,690
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jun",72.4,0,54,599
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jun",76.1,0,62.6,505
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jun",80.6,0,68.1,680
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jun",80.9,0,64.9,648
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jun",79.4,0,65.6,621
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jun",78.1,0.05,68.7,598
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jun",77.1,0.24,69.4,608
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jun",76.2,0,65.9,591
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jun",77.5,0,70.8,423
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jul",74.2,0,71,633
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jul",75.6,0.84,71.7,601
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jul",76,0.08,71.4,635
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jul",79.5,0.53,72.8,438
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jul",82.3,0,70.7,576
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jul",84.6,0,70.1,516
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jul",85.6,0,70.7,475
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jul",81.3,0,65.8,617
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jul",78.8,0.22,67.2,583
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jul",79.4,0.23,70.5,614
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jul",80.6,0,68.7,550
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jul",75,0,62.6,599
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jul",72.2,0.28,68.9,575
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jul",80.3,0.03,71.5,471
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jul",85.3,0,69.7,581
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jul",85.9,0,66.3,582
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jul",86.7,0,66.3,609
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jul",88.2,0,68.6,636
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jul",89.1,0,72.1,697
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jul",86.7,0,70.1,551
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jul",82.3,0,63.7,447
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jul",78.2,0,70,591
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jul",78.7,0.37,71.4,571
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jul",78.5,0.31,64.5,571
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Jul",67.3,0,52.3,507
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Jul",72.2,0.01,57.5,617
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Jul",75.2,0,61.2,516
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Jul",73.3,0,65.2,485
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Jul",75.1,0.25,64.9,597
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Jul",74.4,0.01,53.3,584
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Jul",74.1,0,56.3,553
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Aug",71.5,0,62.8,643
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Aug",73.6,0.65,62.9,626
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Aug",73.4,0.01,60,492
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Aug",73.2,0.05,56,454
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Aug",70.2,0,47,545
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Aug",72.1,0,52.5,543
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Aug",73.4,0,60.5,508
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Aug",73.8,0.18,69.3,549
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Aug",77,0.32,71.9,579
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Aug",77.2,0.01,62.8,495
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Aug",73.5,0,53,481
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Aug",74.5,0.05,64.2,519
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Aug",73.2,0.01,67.2,552
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Aug",68.3,0.84,52.3,622
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Aug",68.6,0,47.5,599
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Aug",70.9,0,51.5,678
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Aug",72.6,0,53.5,504
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Aug",72.1,0,54.6,442
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Aug",72.1,0,58.2,462
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Aug",76.6,0,61.9,542
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Aug",80.1,0,61.4,562
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Aug",75.6,0,68.8,578
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Aug",75.5,0.25,60.8,636
