"day","NUM_COLLISIONS"
4,381
5,480
6,549
7,505
2,389
1,393
3,521
4,513
5,487
6,555
7,660
2,475
1,373
3,542
4,516
5,578
6,491
7,561
2,484
1,393
3,355
4,544
5,545
6,554
7,674
2,558
1,429
3,507
4,542
5,497
6,592
7,574
2,534
1,445
3,553
4,566
5,566
6,526
7,703
2,403
1,400
3,475
4,498
5,570
6,631
7,604
2,449
1,447
3,398
4,477
5,510
6,498
7,531
2,521
1,426
3,490
4,537
5,550
6,517
7,603
2,474
1,502
3,597
4,527
5,475
6,535
2,569
1,415
3,522
4,547
5,636
6,557
7,607
2,521
1,426
3,623
4,559
5,540
6,508
7,604
2,488
1,451
3,498
4,425
5,441
6,549
7,520
2,513
1,426
3,479
4,437
5,532
6,566
7,582
2,531
1,451
3,582
4,613
5,580
6,517
7,649
2,555
1,472
3,603
4,564
5,535
6,553
7,570
2,532
1,471
3,565
4,513
5,598
6,583
7,675
2,517
1,440
3,598
4,576
5,576
6,585
7,686
2,580
1,515
3,561
4,592
5,620
6,602
7,698
2,523
1,527
3,577
4,565
5,532
6,559
7,741
2,506
1,544
3,657
4,697
5,570
6,735
7,668
2,514
1,455
3,420
4,686
5,574
6,685
7,736
2,631
1,487
3,707
4,613
5,599
6,605
7,791
2,571
1,533
3,624
4,635
5,615
6,534
7,693
2,596
1,477
3,614
4,613
5,622
6,681
7,690
2,599
1,505
3,680
4,648
5,621
6,598
7,608
2,591
1,423
3,633
4,601
5,635
6,438
7,576
2,516
1,475
3,617
4,583
5,614
6,550
7,599
2,575
1,471
3,581
4,582
5,609
6,636
7,697
2,551
1,447
3,591
4,571
5,571
6,507
7,617
2,516
1,485
3,597
4,584
5,553
6,643
7,626
2,492
1,454
3,545
4,543
5,508
6,549
7,579
2,495
1,481
3,519
4,552
5,622
6,599
7,678
2,504
1,442
3,462
4,542
5,562
6,578
7,636
2,527
1,459
3,521
4,506
5,482
6,572
7,599
2,480
1,480
3,431
4,551
5,604
6,493
7,524
2,585
1,500
3,632
4,629
5,576
6,695
7,652
2,519
1,476
3,570
4,627
5,571
6,536
7,631
2,546
1,585
3,661
4,615
5,539
6,516
7,553
2,547
1,506
3,605
4,616
5,647
6,590
7,658
2,497
1,404
3,618
4,574
5,529
6,559
7,621
2,556
1,502
3,440
4,615
5,548
6,574
7,680
2,471
1,490
3,616
4,540
5,558
6,632
7,647
2,626
1,512
3,620
4,600
5,558
6,615
7,710
2,551
1,415
3,658
4,510
5,635
6,646
7,682
2,571
1,474
3,456
4,647
5,593
6,620
7,617
2,612
1,532
3,611
4,600
5,607
6,628
7,702
2,536
1,494
3,710
5,742
6,429
7,437
2,479
1,420
3,549
4,553
5,520
6,573
7,759
2,567
1,456
3,639
4,539
5,605
6,648
7,695
2,690
1,450
3,640
4,703
5,701
6,607
7,674
2,594
1,505
3,707
4,515
6,428
7,476
2,475
1,394
3,476
4,465
5,399
6,603
7,423
2,418
1,320
3,518
4,491
5,616
6,561
7,667
2,465
1,388
3,568
4,559
5,583
6,521
7,589
2,448
1,380
3,360
5,498
6,612
7,705
2,475
1,465
3,511
4,504
5,649
6,657
7,560
2,507
1,417
4,613
5,468
6,569
7,675
2,424
1,450
3,678
4,636
5,640
6,447
7,792
2,516
1,464
3,491
4,518
5,552
6,556
7,545
2,587
1,414
3,569
4,513
5,511
6,571
7,655
2,497
1,344
3,440
4,532
5,491
6,558
7,533
2,515
1,404
3,513
4,510
5,515
6,545
7,585
2,519
1,412
3,519
4,551
5,525
6,627
7,589
2,493
1,427
3,547
4,474
5,563
6,538
7,530
2,569
1,437
3,559
4,549
5,519
6,592
7,622
2,580
1,484
3,533
4,606
5,595
6,645
7,609
2,578
1,482
3,514
4,452
5,570
6,508
7,496
2,525
1,393
3,521
4,459
5,536
6,586
7,617
2,548
1,449
3,597
4,555
5,651
6,650
7,698
2,590
1,451
3,618
4,565
5,603
6,596
7,584
2,549
1,584
3,581
4,560
5,638
6,659
7,700
2,619
1,507
3,572
4,650
5,575
6,593
7,660
2,486
1,472
3,433
4,645
5,538
6,663
7,650
2,587
1,604
3,643
4,663
5,582
6,569
7,743
2,623
1,516
3,528
4,569
5,576
6,563
7,708
2,613
1,475
3,622
4,666
5,663
6,675
7,765
2,557
1,477
3,644
4,632
5,646
6,670
7,660
2,611
1,537
3,610
4,616
5,658
6,740
7,360
2,505
1,451
3,614
4,594
5,569
6,584
7,642
2,550
1,439
3,567
4,587
5,551
6,587
7,624
2,480
1,451
3,557
4,587
5,591
6,539
7,653
2,534
1,476
3,595
4,526
5,605
6,626
7,667
2,540
1,476
3,589
4,606
5,562
6,585
7,601
2,538
1,512
3,604
4,491
5,572
6,625
7,522
2,490
1,476
3,595
4,516
5,551
6,567
7,568
2,454
1,437
3,549
4,608
5,538
6,618
7,631
2,510
1,495
3,392
4,700
5,580
6,727
7,647
2,553
1,477
3,598
4,592
5,618
6,619
7,730
2,558
1,528
3,610
4,613
5,658
6,650
7,648
2,594
1,515
3,662
4,592
5,566
6,491
7,643
2,600
1,512
3,566
4,589
5,559
6,558
7,719
2,531
1,505
3,639
4,620
5,639
6,499
7,541
2,546
1,473
3,451
4,697
5,575
6,602
7,648
2,494
1,483
3,591
4,607
5,708
6,639
7,669
2,515
1,515
3,642
4,571
5,556
6,626
7,668
2,656
1,532
3,625
4,538
5,554
6,652
7,641
2,543
1,419
3,560
4,493
5,546
6,696
7,654
2,529
1,429
3,666
4,712
5,633
6,635
7,677
2,512
1,425
3,722
4,599
5,742
6,378
7,444
2,394
1,377
3,644
4,611
5,569
6,606
7,673
2,628
1,493
3,579
4,645
5,649
6,669
7,687
2,594
1,439
3,720
4,645
5,555
6,621
7,652
2,505
1,409
3,566
4,732
5,519
6,303
7,446
2,406
1,349
3,411
4,469
5,461
6,395
7,442
2,456
1,381
3,498
4,777
5,538
6,573
7,751
2,481
1,341
3,580
4,613
5,506
6,548
7,563
2,495
3,496
4,500
5,495
6,508
7,598
2,428
1,406
3,484
5,458
6,519
7,622
2,526
1,361
3,680
4,740
5,585
6,569
7,652
2,449
1,394
3,547
4,571
5,610
6,526
7,757
2,436
1,454
3,402
4,620
5,626
6,515
7,621
2,517
1,519
3,574
4,580
5,628
6,539
7,703
2,538
1,693
3,650
4,631
5,574
6,830
2,578
1,464
3,661
4,584
5,565
6,586
7,609
2,507
1,459
3,529
4,528
5,547
6,582
7,570
2,507
1,432
3,586
4,601
5,538
6,525
7,532
2,459
1,505
3,556
4,628
5,648
6,653
7,491
2,507
1,422
3,510
4,452
5,457
6,452
7,486
2,576
1,443
3,554
4,542
5,595
6,560
7,679
2,605
1,471
3,630
4,645
5,568
6,612
7,676
2,592
1,477
3,558
4,613
5,679
6,640
7,642
2,540
1,555
3,641
4,638
5,568
6,684
7,709
2,560
1,549
3,645
4,684
5,655
6,654
7,723
2,650
1,543
3,566
4,606
5,666
6,615
7,727
2,546
1,432
3,420
4,686
5,697
6,682
7,813
2,622
1,555
3,691
4,642
5,658
6,552
7,692
2,598
1,559
3,634
4,652
5,667
6,666
7,451
2,395
1,578
3,506
4,593
5,706
6,615
7,732
2,505
1,620
3,774
4,703
5,778
6,670
7,774
2,595
1,535
3,662
4,622
5,683
6,603
7,549
2,389
1,467
3,598
4,646
5,620
6,567
7,709
2,597
1,521
3,668
4,657
5,611
6,686
7,659
2,561
1,545
3,727
4,606
5,618
6,623
7,490
2,451
1,551
3,626
4,643
5,629
6,717
7,753
2,668
1,550
3,705
4,666
5,619
6,630
7,726
2,545
1,489
3,611
4,601
5,643
6,714
7,729
2,582
1,552
3,592
4,623
5,594
6,600
7,753
2,581
1,492
3,575
4,595
5,606
6,614
7,609
2,539
1,563
3,614
4,626
5,654
6,665
7,643
2,541
1,504
3,485
4,795
5,740
6,716
7,765
2,554
1,478
3,579
4,579
5,748
6,744
7,760
2,655
1,556
3,624
4,571
5,501
6,619
7,585
2,557
1,493
3,586
4,557
5,634
6,683
7,798
2,556
1,536
3,597
4,631
5,668
6,666
7,764
2,649
1,559
3,505
4,724
5,658
6,683
7,676
2,565
1,551
3,667
4,714
5,720
6,666
7,742
2,519
1,522
3,698
4,631
5,689
6,767
7,688
2,357
1,312
3,613
4,655
5,672
6,690
7,616
2,500
1,472
3,615
4,757
5,530
6,637
7,677
2,613
1,500
3,618
4,684
5,628
6,797
7,819
2,597
1,431
3,704
4,733
5,717
6,383
7,480
2,508
1,453
3,611
4,746
5,655
6,623
7,680
2,629
1,485
3,668
4,618
5,575
6,668
7,694
2,578
1,549
3,637
4,755
5,673
6,745
7,767
2,624
1,500
3,612
4,699
5,805
6,603
7,321
2,395
1,518
3,490
4,533
5,501
6,527
7,393
2,422
1,432
3,601
4,640
5,625
6,542
7,602
2,554
1,462
3,680
4,637
5,605
6,597
7,722
2,563
1,451
3,481
4,662
5,623
6,666
7,702
2,402
1,517
3,658
4,734
5,670
6,681
7,645
2,596
1,532
3,716
4,711
5,579
6,609
7,607
2,553
1,423
3,501
4,571
5,537
6,622
7,628
2,480
1,309
4,615
5,525
6,592
7,532
2,555
1,481
3,615
4,623
5,660
6,663
7,476
2,388
1,509
3,616
4,662
5,653
6,625
7,685
2,601
1,500
