"day","temp","NUM_COLLISIONS"
4,37.8,381
5,27.1,480
6,28.4,549
7,33.4,505
2,36.1,389
1,38.3,393
3,40.9,521
4,40.7,513
5,43.8,487
6,44.3,555
7,40.5,660
2,44.6,475
1,45.3,373
3,52.5,542
4,37.9,516
5,34.2,578
6,39.2,491
7,30.2,561
2,37.3,484
1,45.3,393
3,29.8,355
4,22.4,544
5,14.4,545
6,16.8,554
7,17.1,674
2,19.9,558
1,24.5,429
3,31.8,507
4,40.3,542
5,45.7,497
6,49.1,592
7,29.3,574
2,24.1,534
1,26.5,445
3,26.8,553
4,29.1,566
5,33.3,566
6,29.3,526
7,32.3,703
2,28.8,403
1,25.2,400
3,38.5,475
4,41.9,498
5,38.2,570
6,38.2,631
7,43,604
2,37.9,449
1,29,447
3,23.4,398
4,39.2,477
5,33.8,510
6,28,498
7,30,531
2,38,521
1,39.3,426
3,37.5,490
4,39.9,537
5,40.2,550
6,45.2,517
7,40,603
2,36.7,474
1,32.6,502
3,32.8,597
4,37.9,527
5,40.1,475
6,36.7,535
2,43.7,569
1,41.8,415
3,44.7,522
4,50.3,547
5,45,636
6,35.6,557
7,36.1,607
2,37.3,521
1,33,426
3,32.1,623
4,36,559
5,38.5,540
6,35.7,508
7,34,604
2,38.4,488
1,39.1,451
3,38.3,498
4,42.2,425
5,43.8,441
6,43.3,549
7,46.7,520
2,48,513
1,49.3,426
3,49.3,479
4,38,437
5,38.4,532
6,39.9,566
7,49,582
2,43.1,531
1,46.2,451
3,59,582
4,65.7,613
5,65.1,580
6,56.2,517
7,44.2,649
2,46.5,555
1,52.3,472
3,49.9,603
4,53.9,564
5,62.7,535
6,55.3,553
7,60.8,570
2,55.5,532
1,46,471
3,47.6,565
4,45.4,513
5,52.9,598
6,56.1,583
7,57.3,675
2,57.8,517
1,58.9,440
3,55,598
4,57.7,576
5,57,576
6,58.9,585
7,56.6,686
2,54.7,580
1,52.1,515
3,55.4,561
4,60.9,592
5,60.3,620
6,58.9,602
7,66.9,698
2,64.4,523
1,62.6,527
3,51.7,577
4,51.1,565
5,58,532
6,69.5,559
7,66.4,741
2,61,506
1,57.3,544
3,65,657
4,75.9,697
5,71,570
6,71.5,735
7,59.6,668
2,48.1,514
1,55.5,455
3,61.7,420
4,61.1,686
5,66.9,574
6,81,685
7,83,736
2,80.8,631
1,80.1,487
3,72.2,707
4,66.1,613
5,66,599
6,63.8,605
7,61.5,791
2,64.9,571
1,71.7,533
3,67.7,624
4,69.6,635
5,70.9,615
6,65.7,534
7,59.9,693
2,69.4,596
1,72.8,477
3,75.3,614
4,72.8,613
5,67.4,622
6,69.6,681
7,71.6,690
2,72.4,599
1,76.1,505
3,80.6,680
4,80.9,648
5,79.4,621
6,78.1,598
7,77.1,608
2,76.2,591
1,77.5,423
3,74.2,633
4,75.6,601
5,76,635
6,79.5,438
7,82.3,576
2,84.6,516
1,85.6,475
3,81.3,617
4,78.8,583
5,79.4,614
6,80.6,550
7,75,599
2,72.2,575
1,80.3,471
3,85.3,581
4,85.9,582
5,86.7,609
6,88.2,636
7,89.1,697
2,86.7,551
1,82.3,447
3,78.2,591
4,78.7,571
5,78.5,571
6,67.3,507
7,72.2,617
2,75.2,516
1,73.3,485
3,75.1,597
4,74.4,584
5,74.1,553
6,71.5,643
7,73.6,626
2,73.4,492
1,73.2,454
3,70.2,545
4,72.1,543
5,73.4,508
6,73.8,549
7,77,579
2,77.2,495
1,73.5,481
3,74.5,519
4,73.2,552
5,68.3,622
6,68.6,599
7,70.9,678
2,72.6,504
1,72.1,442
3,72.1,462
4,76.6,542
5,80.1,562
6,75.6,578
7,75.5,636
2,72,527
1,72.8,459
3,74.5,521
4,77.8,506
5,76.4,482
6,73.8,572
7,75.1,599
2,78.3,480
1,78.9,480
3,76.9,431
4,75.7,551
5,72.7,604
6,73,493
7,64.7,524
2,67.8,585
1,73.7,500
3,65.3,632
4,74.9,629
5,84.4,576
6,80,695
7,70.1,652
2,60.3,519
1,60.4,476
3,65.2,570
4,57.8,627
5,60,571
6,64.3,536
7,67.6,631
2,67.7,546
1,65.3,585
3,57.5,661
4,58.4,615
5,62.5,539
6,63,516
7,61.8,553
2,64.1,547
1,63.7,506
3,63.1,605
4,68.2,616
5,72.7,647
6,71.7,590
7,73.5,658
2,69.5,497
1,67.2,404
3,69.6,618
4,60.8,574
5,58.3,529
6,58.4,559
7,63.3,621
2,65.2,556
1,60.3,502
3,58.2,440
4,60,615
5,60.6,548
6,65.3,574
7,63.5,680
2,58.3,471
1,57.4,490
3,57.4,616
4,59.5,540
5,51.8,558
6,47.4,632
7,46.3,647
2,47.9,626
1,52.1,512
3,51.5,620
4,50.2,600
5,52.8,558
6,59.7,615
7,66.2,710
2,61.3,551
1,49.6,415
3,39.4,658
4,46.8,510
5,54.4,635
6,57.8,646
7,45,682
2,43.7,571
1,49.6,474
3,48.2,456
4,42.8,647
5,33.1,593
6,40.7,620
7,50,617
2,52.3,612
1,54.6,532
3,60.4,611
4,47.1,600
5,37.5,607
6,42.1,628
7,52.8,702
2,46.3,536
1,27.6,494
3,27.5,710
5,48.5,742
6,33.2,429
7,33.7,437
2,31.2,479
1,41.3,420
3,45.1,549
4,44.8,553
5,45.7,520
6,52.8,573
7,52.4,759
2,38.2,567
1,31.6,456
3,34.6,639
4,35.7,539
5,30.1,605
6,26.8,648
7,27.8,695
2,28.2,690
1,33.1,450
3,30.3,640
4,27.3,703
5,28.9,701
6,36.5,607
7,46.8,674
2,55.4,594
1,65.5,505
3,59.8,707
4,38.8,515
6,31.9,428
7,35.2,476
2,43,475
1,45.9,394
3,39.8,476
4,26,465
5,28.2,399
6,28.5,603
7,15.6,423
2,15.8,418
1,30.3,320
3,45.6,518
4,12.3,491
5,12.9,616
6,25.3,561
7,32.3,667
2,47.7,465
1,47.6,388
3,42.7,568
4,48.3,559
5,42.6,583
6,39.4,521
7,37.8,589
2,37.6,448
1,29.1,380
3,39,360
5,12.3,498
6,13.1,612
7,14.7,705
2,21.8,475
1,21.4,465
3,34.8,511
4,17.8,504
5,17.4,649
6,21.2,657
7,30.7,560
2,39.1,507
1,45.1,417
4,28.3,613
5,31.8,468
6,27.3,569
7,27.6,675
2,25.9,424
1,25.5,450
3,25.1,678
4,21.7,636
5,18.9,640
6,29.9,447
7,35.5,792
2,35.6,516
1,26.6,464
3,23.7,491
4,32,518
5,38.4,552
6,42.8,556
7,39.4,545
2,46,587
1,48.6,414
3,39.1,569
4,28.2,513
5,27.4,511
6,24.6,571
7,16.5,655
2,27.2,497
1,36.9,344
3,25.3,440
4,20.1,532
5,31.3,491
6,24.5,558
7,30.2,533
2,42.8,515
1,41.4,404
3,42.3,513
4,53.6,510
5,52.5,515
6,28.7,545
7,30.5,585
2,49.9,519
1,37,412
3,28.9,519
4,33.9,551
5,36.9,525
6,45.6,627
7,44.1,589
2,49.9,493
1,40.9,427
3,28,547
4,32.4,474
5,33.1,563
6,30.5,538
7,48,530
2,50.7,569
1,45.3,437
3,43.5,559
4,46.8,549
5,47.3,519
6,53.6,592
7,44.4,622
2,45.8,580
1,45.3,484
3,47.2,533
4,52.6,606
5,52.2,595
6,50.5,645
7,62.1,609
2,60.4,578
1,63,482
3,67.3,514
4,58.5,452
5,38.8,570
6,41.6,508
7,41.4,496
2,52.6,525
1,52.1,393
3,52,521
4,59,459
5,55.7,536
6,50.5,586
7,52.6,617
2,53,548
1,51.9,449
3,54.5,597
4,49.7,555
5,44.2,651
6,61.1,650
7,63.4,698
2,61.3,590
1,57.6,451
3,58.4,618
4,60.3,565
5,59.1,603
6,55.9,596
7,58,584
2,65.6,549
1,70.1,584
3,73.8,581
4,68.5,560
5,58.2,638
6,63.1,659
7,65.9,700
2,61.6,619
