"day","temp","dewp","prcp","NUM_COLLISIONS"
4,37.8,23.6,0,381
5,27.1,10.5,0,480
6,28.4,14.1,0,549
7,33.4,18.6,0,505
2,36.1,18.7,0,389
1,38.3,25,0,393
3,40.9,23.8,0,521
4,40.7,25.4,0,513
5,43.8,30.8,0,487
6,44.3,25.4,0,555
7,40.5,27.1,0,660
2,44.6,43,0.57,475
1,45.3,43.1,0.02,373
3,52.5,45.4,0,542
4,37.9,27.9,0.09,516
5,34.2,30,0.63,578
6,39.2,28,0.09,491
7,30.2,12.2,0,561
2,37.3,18.1,0,484
1,45.3,23.4,0,393
3,29.8,9.3,0,355
4,22.4,4,0,544
5,14.4,-5.4,0,545
6,16.8,-1.7,0,554
7,17.1,1.5,0,674
2,19.9,9.2,0.07,558
1,24.5,7.5,0,429
3,31.8,19,0,507
4,40.3,35.3,0.22,542
5,45.7,42.9,0.06,497
6,49.1,36.5,0.93,592
7,29.3,9.5,0.01,574
2,24.1,6.5,0,534
1,26.5,18,0.03,445
3,26.8,10.5,0.02,553
4,29.1,20.3,0.01,566
5,33.3,23.1,0.01,566
6,29.3,6.2,0,526
7,32.3,26.2,0.01,703
2,28.8,21,1.52,403
1,25.2,8.5,0.38,400
3,38.5,32.4,0.09,475
4,41.9,28.8,0.4,498
5,38.2,22.5,0,570
6,38.2,26.7,0.03,631
7,43,30.7,0,604
2,37.9,28,0.02,449
1,29,6.6,0,447
3,23.4,2,0,398
4,39.2,22.4,0,477
5,33.8,16.8,0.15,510
6,28,9.8,0,498
7,30,17.2,0,531
2,38,34.3,0,521
1,39.3,32.4,0.27,426
3,37.5,22.7,0.01,490
4,39.9,28.7,0,537
5,40.2,36.8,1.26,550
6,45.2,32.9,0.44,517
7,40,27.4,0,603
2,36.7,22.8,0,474
1,32.6,18.7,0,502
3,32.8,16.4,0,597
4,37.9,20.6,0,527
5,40.1,29.3,0,475
6,36.7,28.2,0,535
2,43.7,22.1,0.4,569
1,41.8,28.6,0,415
3,44.7,38.2,0,522
4,50.3,47.3,0.08,547
5,45,29.9,0.71,636
6,35.6,13.6,0,557
7,36.1,13.5,0,607
2,37.3,24.1,0,521
1,33,20,0.12,426
3,32.1,14.1,0,623
4,36,32.2,0.81,559
5,38.5,18.9,0.2,540
6,35.7,16,0,508
7,34,13.9,0,604
2,38.4,17.6,0,488
1,39.1,18.2,0,451
3,38.3,27.7,0,498
4,42.2,27.3,0.17,425
5,43.8,22.7,0,441
6,43.3,27.8,0,549
7,46.7,26.4,0,520
2,48,24.5,0,513
1,49.3,29.7,0,426
3,49.3,40.8,0.08,479
4,38,10.9,0,437
5,38.4,9.5,0,532
6,39.9,16.4,0,566
7,49,22.3,0,582
2,43.1,13.2,0,531
1,46.2,31,0,451
3,59,40.8,0,582
4,65.7,42.7,0,613
5,65.1,45.9,0,580
6,56.2,50.1,0.49,517
7,44.2,38.8,0.01,649
2,46.5,36.8,0.63,555
1,52.3,30.4,0.01,472
3,49.9,27,0,603
4,53.9,43.9,0,564
5,62.7,45.3,0.02,535
6,55.3,39.9,0.01,553
7,60.8,55,0,570
2,55.5,38,0.11,532
1,46,20.5,0.06,471
3,47.6,29.9,0,565
4,45.4,34.5,0,513
5,52.9,41.1,0,598
6,56.1,31.5,0,583
7,57.3,29.4,0,675
2,57.8,27.8,0,517
1,58.9,31.1,0,440
3,55,44,0,598
4,57.7,38.2,0.04,576
5,57,32.7,0,576
6,58.9,41.2,0,585
7,56.6,37.9,0,686
2,54.7,41.4,0,580
1,52.1,38.7,0,515
3,55.4,44.7,0,561
4,60.9,50.8,0,592
5,60.3,56.6,1.28,620
6,58.9,54.2,1.76,602
7,66.9,54,0.48,698
2,64.4,60.1,0.18,523
1,62.6,45.3,0.92,527
3,51.7,26.7,0,577
4,51.1,27.2,0,565
5,58,39.9,0,532
6,69.5,51,0,559
7,66.4,40.2,0,741
2,61,46.6,0,506
1,57.3,53.4,0.1,544
3,65,60,0.51,657
4,75.9,65.2,0,697
5,71,63.4,0,570
6,71.5,66.2,0,735
7,59.6,57,1.91,668
2,48.1,41.7,0.29,514
1,55.5,35.6,0.05,455
3,61.7,34.9,0,420
4,61.1,47.1,0,686
5,66.9,60.6,0.52,574
6,81,63.4,0,685
7,83,63.4,0,736
2,80.8,64.1,0,631
1,80.1,65.9,0,487
3,72.2,67.3,1,707
4,66.1,45.6,0.72,613
5,66,41.7,0,599
6,63.8,53.8,0,605
7,61.5,59.4,0.95,791
